Sentiment,Paraphrased_Text
Negative,There is a bearish triangle pattern in the USDJPY.
Positive,"For a test of 1118511275, the euro will eventually move above its YTD high."
Negative,The AUDUSD is depressed and is vulnerable to slide further.
Neutral,The underlying bull trend is paused before another push higher.
Positive,There are sustained gains seen above 10970.
Neutral,The euro would still be supported by the market in June.
Positive,TheUSD demand upside potential seems limited.
Negative,The likelihood of a BoJ policy shift should accelerate the depreciation of the dollar.
Negative,The US jobs data deteriorated.
Negative,The softUSD trend is in place because of the US NFP Preview.
Negative,The bulls retreat into NFP.
Negative,Wall Street gains are offset by risk aversion in the AUDUSD.
Neutral,NFP is the only game in town.
Positive,The US Dollar has a bounce ahead of the US NFP.
Neutral,The price analysis retreats towards the bullish channel.
Negative,The AUDUSD is justifying riskbarometer status as the recession looms.
Neutral,I hope the BoJ has a suitable policy.
Negative,"Japan's real wages drop at a slower pace than the US, so theUSDJPY ignores yields to slip beneath 13200."
Neutral,BoJ Governor Ueda will work with two deputy governors.
Neutral,China's SAFE will protect against shocks in the financial market.
Neutral,AUDUSD Price Analysis Portrays before NFP consolidation.
Positive,The key is the US NFP 10930.
Neutral,China wants Australia to treat all firms fairly.
Neutral,The BoJ's holdings hit a record in March.
Negative,The US NFP is in focus for the week.
Neutral,It is appropriate to give more flexibility to the BoJ.
Neutral,The BoE and Fed are having talks ahead of the US NFP.
Positive,BoJ sees broadening trend where rising inflation is reflected in wages.
Negative,"On Good Friday, the United States Nonfarm Payrolls are eyed."
Positive,The 100 hour MA target is ahead of the EURUSD.
Neutral,All about the curve.
Negative,The euro dropped to four day lows after the NFP.
Negative,"On a soft US jobs report, the US Dollar climbs."
Positive,The US Nonfarm Payrolls report was sluggish.
Positive,The AUDUSD rebounded after the US jobs report.
Neutral,The NFP attention turns to US inflation and global growth concerns.
Neutral,The currency printed 061 gains for the week despite tumbling in late trading.
Neutral,Inflation eyed by China is keeping the AUDUSD sideways around 06660.
Neutral,The euro stays defensive around 10900.
Negative,The 12400 cushion looks fragile.
Negative,The AUDUSD price analysis bounces off the 616 fibonacci retracement.
Positive,US employment data supports more rate hikes by the Fed.
Neutral,The options market signals near 10900 are hard to justify.
Negative,The USD index is recovering ahead of US inflation.
Neutral,Matsuno BoJ will work with the government to implement monetary policy.
Positive,Bulls eye another battle with 50DMA hurdle around 13300.
Negative,The euro dropped below 10900 as investors were cautious.
Negative,"Despite the Easter Monday holiday, the GBPUSD is still down."
Neutral,The AUDUSD is under mild losses as China's risk aversion fades.
Neutral,The last defense for bulls is 10850.
Positive,A part of the gains are held above the 13200 mark.
Neutral,The gains above 12400 are not followed through.
Neutral,BoJ Governor Ueda talked about the need to guide policy with flexibility.
Positive,The AUDUSD has recovered from a twoweek low.
Neutral,BoJs Ueda BoJ faces the challenge of sustaining monetary easing.
Positive,BoJs want to avoid sudden normalisation.
Negative,The euro is more to the downside in US trading.
Negative,The EURUSD is close to a one week low.
Neutral,What is the next move for the pair?
Positive,"Near mid 13300s, theUSDJPY is close to the 100 DMA barrier."
Negative,Key levels to watch as sellers gain steam.
Negative,The Dollar strengthens as the Pound slides to a one week low.
Neutral,Core inflation in the Eurozone is elevated.
Neutral,"After setting a weekly low, the EURUSD is stable."
Negative,The AUDUSD is under pressure.
Positive,The 100 day moving average for theUSDJPY is above it.
Negative,"In a slow start to the week, the British pound stays below the 12500 mark."
Negative,The AUDUSD moved back to the low from Friday's trading.
Negative,"Ahead of US inflation, the US Dollar strengthens."
Negative,The US Dollar has a riskoff mood ahead of China inflation.
Positive,"Ahead of Eurozone Retail Sales and US Inflation, the EURUSD scales above 10860."
Neutral,Recovery below the immediate hurdle is elusive.
Neutral,BoJ debt buying is inappropriate to guide fiscal policy.
Neutral,The key to upside is off fortnightlong support.
Positive,"The BoJ supports expansionary policy, so the upside looks favored."
Neutral,The price analysis bounced off the confluence.
Neutral,China's consumer price index softened in March vs 10 expected.
Negative,"As China's Inflation decelerates further, the AUDUSD drops below 6000."
Neutral,Warren Buffet is considering investing more in Japanese stocks.
Positive,Australia and China have an agreement to settle a dispute.
Positive,The price analysis reverses from a three week old horizontal hurdle towards 13300.
Positive,There is an upbeat market mood ahead of US inflation.
Positive,The US Dollar is in retreat as upbeat Aussie data joins it.
Neutral,There is solid support for the EURUSD.
Negative,"Near term, the GBPUSD faces further consolidation."
Positive,The US Dollar has a retreat in Treasury bond yields.
Positive,There is anxiety among investors ahead of US inflation.
Neutral,There is an extra range bound in the works.
Neutral,Le Maire reiterates the target to lower inflation.
Negative,The best situation forUSD bulls is a fall in inflation with a more restrictive Fed.
Positive,The softerUSD upside seems limited as the AUDUSD clings to gains.
Neutral,"If there is an early move away from monetary policy, the Yen will appreciate."
Positive,The euro can edge back up to the1093050 area today.
Negative,There is notableUSD supply and the USDJPY is flirting with a daily low.
Neutral,The investor confidence index in Eurozone improved to 87 in April from 99 in March.
Positive,The EURUSD looks to be bid and regains the 10900 mark.
Negative,The break above 125 may be hard to sustain.
Negative,Retail sales in the Eurozone dropped in March.
Negative,There is no confidence for a sustained return over 070 in the short term.
Neutral,The current CEE currency rally is starting to run out of steam.
Neutral,Until the May meetings of the European Central Bank and the Federal Reserve.
Neutral,The data points towards the Canadian Dollar for those who want to buy a foreign currency.
Negative,Maintaining policy settings is unlikely to prove sustainable.
Positive,The objective remains a push to 112.
Positive,The US Dollar lost strength ahead of the data.
Positive,Broader uptrend is set to resume.
Neutral,"Despite broad based weakness in the US dollar, the GBPUSD is still well bid above 12400."
Positive,Short covering and seasonal factors could keep Cable in the lead.
Positive,Next on the upside is 10973.
Positive,"By the end of the year, the euro will be at 115."
Neutral,The 100/200 hour MAs are where the EURUSD and the GBPUSD are headed.
Neutral,"In the second quarter, the pound may bounce around in a 120125 range."
Neutral,Positive risk tone is helping the AUDUSD hold steady.
Neutral,The AUDUSD runs into a cluster of resistance after reversing yesterday's declines.
Negative,"By the end of June, the dollar will be at 128."
Positive,The currency extended to the highs for the day.
Positive,"Fresh daily highs, but is limited below 10930."
Positive,The eye break of 12520 is hoped to have been cooled by US prices.
Positive,"Ahead of a critical USCPI, theUSDJPY bulls take on 13380 resistance."
Negative,"Before key US inflation data, the Dollar weakens."
Positive,The euro rebounded from 10900 as investors ignored US inflation anxiety.
Neutral,Eurozone inflation is at risk of getting entrenched.
Neutral,The Fed Minutes are eyed and the AUDUSD struggles.
Positive,Strength is gathered for a break of the Falling Channel.
Neutral,The price analysis is higher past 10900.
Positive,Bulls are eyeing a run to test 13400.
Positive,The AUDUSD price analysis broke above the 6000 mark.
Neutral,The BoE's Bailey and Fed Minutes focus on US inflation.
Negative,The Fed hawks retreat from inflation concerns.
Positive,The resistance line is in search of a new high.
Positive,TheUSD is defending 10200 support ahead of the USCPI.
Neutral,The Australian economy will avoid a recession.
Positive,The AUDUSD is marching towards 06700 on economic optimism.
Neutral,There is further range bound on the cards.
Positive,"Even without global banking stress, we would have paused rates."
Neutral,The nearterm consolidative phase is where the GBPUSD is at.
Positive,The high of the day is above 10930.
Positive,BoJ will continue monetary easing in order to achieve price stability.
Neutral,The Yen bulls took a break on their way to 13450.
Negative,Strong inflation data should support the Dollar.
Neutral,The barrier for the pound is seen at 125.
Neutral,The AUDUSD has moved into a consolidative phase.
Neutral,A test of 13440 is still on the cards.
Neutral,The dollar eases from a four week high.
Negative,ING predicts that the euro will struggle to break above 112 this quarter.
Positive,"Ahead of US data, the weekly rebound is extended by the EURUSD."
Negative,There is a technical analysis for the GBPUSD.
Neutral,The focus remains on the US CPIFOMC minutes.
Negative,There is a risk of the Dollar being supported into May by a high number of USCPI.
Neutral,There is a technical analysis of the currency.
Neutral,"Near term, the SNB wants a 098100 range."
Neutral,A technical analysis of the AUDUSD.
Negative,There are sellers near the 200 hour MA.
Neutral,There is a technical analysis of theUSDJPY.
Positive,The GBPUSD has new highs.
Negative,Key levels are being tested as the pound continues to fall.
Negative,The AUDUSD is short lived.
Negative,"As key levels break, the AUDUSD downside grows."
Neutral,There will be expiries for the NY cut.
Neutral,The hourly MAs are where the buyers and sellers battle.
Positive,The yields are higher.
Negative,The test area is a new session low.
Neutral,A technical analysis of the AUDUSD.
Negative,There is strong contention around 12275.
Neutral,There is a softer risk tone as theUSDJPY hits fresh multi week high.
Positive,The gains were modest and capped the upside.
Positive,The currency rebounded into the close.
Neutral,The dollar is still firm on dollar yields.
Negative,Danske Bank thinks that theUSDJPY is fundamentally overvalued.
Positive,BoE sentiment is dominating the bullish grounds of the GBPUSD.
Negative,The AUDUSD fell from recent highs due to Fed tightening estimates.
Neutral,There is a technical analysis of the currency.
Negative,Danske Bank says the AUDUSD outlook is negative.
Positive,Bulls move in on the figure.
Negative,Bears are moving in with eyes.
Neutral,The 200 hour moving average is being tested by the currency.
Neutral,The FedBoE eyes one more rate hike.
Negative,The AUDUSD is falling amid jittery markets.
Neutral,Cable buyers are cautious below the 12470 resistance.
Neutral,The central bank will benefit from the Lowe review.
Neutral,China 15 year rates were not changed.
Negative,The AUDUSD is staying below the support as softer Aussie data supersedes the moves of the PBOC.
Neutral,There is a technical analysis for the GBPUSD.
Positive,Bulls are testing bears near 13500.
Neutral,The US trade restrictions on China are narrowly targeted.
Neutral,Retail Sales eyed in the UK amid subduedUSD
Neutral,The BoJ has an assessment for seven of Japans nine regions.
Positive,"As the focus shifts to the US, the AUDUSD shows inventory adjustment."
Neutral,BoJ is open to tweaking YCC if wage momentum continues.
Negative,The BoJ Fed gave mixed clues about yields.
Negative,The firm support for the pound remains at 12275.
Positive,"Near term, the 13575 level is a target for theUSDJPY."
Neutral,The downside potential of the British currency seems limited.
Neutral,Strong UK inflation and technical indicators cause market volatility.
Neutral,PBOC will continue to implement prudent monetary policy.
Positive,The EURUSD regained its upside impulse and retargets 11000.
Positive,I don't see an immediate risk to financial stability.
Neutral,The US Treasury Sec calls for fair and constructive economic ties with China.
Neutral,The recent gains of theUSDJPY are consolidated above mid 13400s.
Positive,The majority of the accounts agreed with the proposal to raise key rates.
Positive,The big magnet for bulls is the 2023 high.
Neutral,The upside remains capped amid the weaker risk tone.
Positive,The price analysis climbs to a new daily high.
Negative,The 13500 region is just ahead of theUSDJPY Upside.
Positive,"After worse than expected US data, the euro tries to trade in upper109s."
Positive,The AUDUSD hits weekly highs.
Positive,The US data sparks recession fears.
Neutral,There is a technical analysis of theUSDJPY.
Negative,The market is bearish as profit taking kicks in.
Negative,Bears are near 13450 for a downside correction.
Neutral,Mixed markets limit the slide of the Dollar.
Positive,The AUDUSD rebounded from the previous day's lows ahead of the Australian survey.
Neutral,The currency is inside the woods ahead of the Fed bets.
Negative,Bears take on trendline support.
Positive,"Despite Japan's Inflation increasing, theUSDJPY rebounded from 13400."
Negative,Bulls have thrown in the towel.
Neutral,The euro moved sideways with a focus on US data.
Neutral,They retest MAs.
Neutral,China's SAFE currency market was stable in the first quarter.
Neutral,"Ahead of retail sales in the UK, the pound continues to fluctuate."
Neutral,The price analysis is set for a volatile action.
Negative,The Fed raised rates despite fears of a slowdown.
Negative,Retail sales in the UK dropped by 09 MoM in March.
Neutral,BoJ Financial System Report Japans financial system has been stable.
Negative,Retail Sales in the UK hold above the 12400 mark.
Negative,TheUSDJPY is flirting with a four day low.
Neutral,The British currency is seen trading within 1234512510
Neutral,The AUDUSD is in the consolidative phase.
Negative,"In April, the German preliminary manufacturing index dropped to 437 from 476 expected."
Neutral,The monetary policy will be communicated on a meeting basis.
Negative,The Eurozone preliminary manufacturing index fell to 455 in April from 480 in March.
Positive,BoJ is likely to keep dovish policy guidance next week.
Positive,"In April, the UK Preliminary Services PMI jumped to 499."
Positive,The AUDUSD is lifting off.
Negative,The EURUSD is slightly on the defensive.
Positive,"Near term, theUSDJPY remains poised for additional gains."
Neutral,"Ahead of the US data, the euro is trading flat."
Positive,The currency looks toward the 100 hour MA.
Neutral,How could the data affect the euro?
Positive,Next on the upside is the peak of the euro.
Neutral,"Ahead of the US PMIs, the GBPUSD is down a little."
Positive,The AUDUSD rebounded from weekly lows.
Positive,TheUSDJPY jumps to a fresh daily peak eyes mid 13400s.
Negative,The euro dropped after the US data.
Neutral,There are still signs of stubbornly high inflation.
Neutral,The Doji candlesticks show bullsbears indecision.
Positive,The dollar rises timidly.
Positive,The EURUSD is moving into a higher range.
Positive,The euro holds steady around 10980.
Neutral,AUDUSD buyers and sellers are looking for a break.
Negative,Bears aligned below 6000.
Neutral,BoJ will examine its policy over time.
Neutral,There is a ban on many goods passing through Russia.
Negative,The bears are in the market.
Neutral,Consecutive dojis indicate indecisiveness.
Negative,The Fed prepares for more rate hikes.
Positive,Bulls are looking for a discount.
Negative,TheUSD Index attempts to recover US Durable Goods Orders.
Neutral,modernization is a requirement of China's premier Li high quality economic development.
Neutral,BoJ Governor Ueda is likely nearing its peak.
Negative,TheUSD rebounded ahead of US Durable Goods Orders.
Positive,BoJ Ueda warns Japan that the consumer price index will peak sooner.
Positive,"Unless wage growth slows, the Wunsch Central bank will keep raising interest rates."
Negative,The AUDUSD is currently at a one week low.
Negative,Absence of a bullish momentum favors a downside bias.
Neutral,The range of the currency is in the works.
Neutral,The outlook for the AUDUSD remains mixed.
Negative,The probability of extra gains is Fading.
Neutral,"Ahead of key data, the EURUSD is capped at 11000."
Positive,The euro is at the top of its range.
Negative,The downside potential of the British pound seems limited.
Neutral,The German IFO Business Climate Index improved in April.
Neutral,The German economy is far away from a substantial upswing.
Positive,TheUSDJPY has modest gains just below mid 13400s.
Neutral,The core mandate of the Villeroy Central banks is price stability.
Neutral,There is a risk of persistent inflation volatility.
Neutral,The German economy did better than expected.
Positive,Extra gains target the 11080 region.
Neutral,The Chicago Fed National Activity Index was unchanged in March.
Positive,The EURUSD shows resilience.
Neutral,There is no followthrough on the modest gains around mid 12400s.
Neutral,Key levels to watch for the GBPUSD.
Positive,European markets draw to a close and the euro is in multiday highs.
Positive,"Despite the weaker dollar, theUSDJPY climbs to a fresh daily high."
Positive,There are key levels and market sentiment ahead of the BoJ interest-rate decision.
Negative,The AUDUSD is at weekly lows.
Positive,The buyers are in charge.
Positive,The US Dollar is looking at 12500.
Neutral,Can it stay above the swing area?
Neutral,The market front side of the bull trend was occupied by bears.
Positive,The AUDUSD bulls are attacking amid a holiday in Australia.
Positive,The US Dollar is weakened by lower US Treasury yields.
Positive,The bullish channel has a oneweek high of 12500.
Negative,"Despite investors anticipating a dovish BoJ policy, theUSDJPY corrects sharply."
Neutral,Where are the bears?
Positive,The price analysis Marches towards the psychological hurdle.
Neutral,Japanese Trade Minister wants to provide support for nextgen chips.
Neutral,BoJ Ueda is reasonable to continue easing.
Positive,"As theUSD index eyes more downside, theGBPUSD aims to shift auction above 12500."
Neutral,The Cabinet Office of Japan has a moderate view on the economy.
Neutral,There is a confluence of BoJ concerns and Yen buyers.
Negative,BoJ Governor Ueda Trend inflation is gradually increasing.
Negative,The AUDUSD is justifying the risk barometer status to drop.
Positive,The upside looks likely ahead of US GDP.
Neutral,Further rate hikes will depend on data.
Positive,The EURUSD could go towards the 11120 level.
Positive,The gains seen above 12510 are UOB.
Neutral,The UK PM wants the EU to agree on passport checks.
Negative,The Fed policy comes into picture ahead of US GDP.
Neutral,The price analysis drops toward the 15000 mark.
Negative,Ahead of the US GDP BoJ policy is in focus.
Neutral,Dwindling bets for further upside.
Neutral,The Villeroy Inflation is expected to come down to 2 at the end of the decade.
Negative,Portrays bearish consolidation below 6000.
Positive,The Euro makes a date with highs on confidence.
Neutral,There is further upside contained in the technical analysis.
Neutral,There is a technical analysis of the currency.
Negative,The US Dollar recovers and the euro trims gains.
Neutral,BoJ previews a new face game.
Neutral,A surprise is in the making.
Neutral,BoE would have tightened policy sooner if we had seen inflation shocks.
Neutral,A technical analysis of the AUDUSD.
Neutral,The price analysis is focused on the peak.
Negative,The AUDUSD is transiting to the downside.
Negative,Risk aversion is taking hold of the GBPUSD.
Negative,The AUDUSD has hit twoweek lows.
Negative,Decelerating US economy and banking crisis fears have caused the euro to plummet.
Negative,Bears watch the 13320s in the market.
Neutral,Risk aversion is lifting the US Dollar.
Neutral,"Ahead of Australian Inflation and US Durable Goods Orders data, the AUDUSD is defended."
Negative,The bears are trying to test trendline support.
Negative,The biggest daily fall in six weeks was caused by banking troubles.
Negative,The front side of the bearish trend is being carved out by theUSDJPY.
Neutral,The bounce seeks acceptance from the hurdle.
Negative,The US GDP is eyed as a less confident recovery for the euro.
Neutral,The bears might be looking to guard the 12420s.
Neutral,BoJ Kazuo Ueda thinks that the risk of inflation is high because of the low finances of Japan.
Negative,"The mean inflation rate in Australia in the first quarter was trimmed, but it misses expectations."
Neutral,The AUDUSD is whipsawing on easy Australia inflation and US Durable Goods Orders.
Negative,The bears appear to be set to refresh their weekly low.
Neutral,"Ahead of US Durable Goods Orders, there areibbles within the key SMA envelope."
Neutral,Banking turbulence pre data positioning keeps the GBPUSD defensive around 12400.
Negative,The AUDUSD Price Analysis was far from 6000.
Neutral,"For the time being, it looks like the euro is out of favor."
Negative,TheUSD is softer and theUSD trades with modest losses.
Negative,The extra losses look likely to be below 12345.
Negative,Downward bias picks up pace.
Positive,The 11000 barrier is regained by the EURUSD.
Positive,The euro is back above 11000.
Positive,The daily high of the GBPUSD is mid-12400s.
Neutral,The Bank of Japan has no reason to move this week.
Neutral,There is a technical analysis of theUSDJPY.
Neutral,There is a scope for further consolidation of theUSDJPY.
Negative,"Despite the weaker US dollar, the AUDUSD sticks to softer Australian losses."
Neutral,How could the US Durable Goods Orders affect the currency?
Positive,There is a price analysis immediately to the upside.
Positive,"After the US data, the British currency sticks to gains near a daily peak."
Neutral,The key rate will not be raised next week according to the data from the RBA.
Negative,Heavy selling of the US dollar causes theUSDJPY to drop to 13300 neighbourhood.
Positive,The EURUSD hits a new 13month high.
Positive,The bulls are trying to test 125s.
Neutral,Bulls could be on the table at the fresh cycle lows.
Neutral,"Before crucial US data, a mixed US Dollar and cautious markets."
Neutral,The market is cautious ahead of US GDP.
Negative,Bulls are taking a break as bears watch.
Negative,The AUDUSD is lures bears despite recent moves.
Negative,The failure of instability above 12500 makes the pound delicate.
Neutral,Will be surprised if BoJ changes YCC Friday.
Negative,Euro bulls watch US GDP 11090 eyed.
Positive,Looking toward the highs for the year.
Neutral,The BoJ talks about the US GDP.
Negative,The AUDUSD Price Analysis retreats as theRBA keeps a neutral policy stance.
Negative,The US Q1 GDP looms as the GBPUSD bulls take a break.
Positive,The euro marches towards a 13month high.
Neutral,Banking anxiety ahead of US GDP is keeping the AUDUSD mild.
Negative,Dwindling bets for a sustained move above 11120.
Neutral,The bullish channel has 800-313-5780 800-313-5780 800-313-5780 800-313-5780 800-313-5780 800-313-5780 800-313-5780 800-313-5780
Positive,"As theUSD Index eyes more downside, the EURUSD Price Analysis aims to capture 11100."
Neutral,The first estimate effect on the dollar.
Neutral,"For a fresh rally, the price analysis needs to be above 12500."
Positive,Extra gains are likely to be above 12500.
Neutral,The trading of theUSDJPY is on the sideline.
Positive,"Ahead of the data, the recovery is extended to the 11060 region."
Neutral,"Ahead of the US GDP release, the euro is in the mid-110s."
Positive,The AUDUSD has modest gains above the 6000 mark.
Neutral,"Ahead of US GDP, the GBPUSD is in a range holds above mid 12400s."
Positive,A test of 11100 is on the horizon.
Positive,The US GDP report pushed theUSDJPY to a fresh daily high.
Positive,The US GDP figures are challenged by the EURUSD.
Negative,Fresh buying of the US dollar is keeping the GBPUSD near a daily low.
Negative,"After US data slides, theAUDUSD erases gains."
Negative,Bears are looking at a run on length.
Neutral,Market sentiment improves for the first BoJ meeting.
Positive,"Ahead of BoJ's decision, theUSDJPY rallies to a two day high above 13400."
Neutral,The focus is shifting to the RBA monetary policy.
Neutral,The Eurozone GDP Fed's favorite inflation loom.
Positive,The cable buyers approach a hurdle.
Negative,Japan inflation Ueda is the first BoJ eyed.
Neutral,"Ahead of key Eurozone data, the EURUSD Price Analysis continues to recover."
Neutral,The price analysis shows that the AUDUSD is close to previous support.
Positive,The bulls are going for a close above 12500.
Neutral,How might the BoJ affect the dollar?
Neutral,"As GDP US inflation clues loom, the euro prints pre data anxiety."
Positive,The BoJ steers policy on a steady course.
Negative,Uncertainty over Japans economy is very high.
Positive,Governor Ueda eyed the BoJ's status quo as theUSDJPY jumped 100 pips to mid 13400s.
Neutral,The cash rate may need to be raised again in May.
Positive,Strength is gathered for a sustainable move above 12500.
Negative,UOB says a move above 11120 isn't favored.
Negative,The AUDUSD plummets as theUSD index regains strength.
Positive,There is an advance on the cards above 12500.
Positive,The continuation of BoJ's dovish policy inspired the price analysis rally.
Positive,Monetary easing is appropriate to achieve 2 inflation targets.
Neutral,Financial turmoil since March was taken into account in BoJ's Ueda Todays policy decision.
Positive,The BoJinspired rally of theUSDJPY jumped to its highest level since March 10.
Negative,Downward momentum picks up pace.
Negative,The German Gross Domestic Product is expected to arrive at 0 qyy.
Neutral,"Ahead of GDP data policy decisions, the euro is in a triangle."
Negative,The focus remains on key data.
Negative,An extended pause is in the preview.
Negative,The 100 day MA is where theUSDJPY looks to go.
Neutral,"Near term, theUSDJPY faces an extra range bound."
Neutral,"In the first quarter of the year, the Eurozone Preliminary GDP expands by 1%."
Neutral,Danske previews the art of compromise.
Negative,"Ahead of the US PCE, the AUDUSD dropped to its lowest level since March 10."
Neutral,There is a technical analysis of the currency.
Neutral,How could the US March PCE Price Index affect the euro?
Negative,HICP inflation in Germany declined to 76 in April from 78 expected.
Positive,The BoJ inspired strong gains after the US PCE Price Index.
Positive,The EURUSD bounces off lows.
Positive,A two week high looks to build on.
Positive,The British currency stretches to the upside.
Positive,The AUDUSD was close to the low.
Positive,Keeping a buy on dip mentality.
Neutral,"As US inflation sticks, the Fed considers tightening."
Neutral,"Busy week ahead with Fed, ISM and more."
Positive,Buyers eye 12600 as the price analysis climbs to 11month highs.
Positive,There is room for a rebound in the EURUSD.
Positive,There are six week highs above 13620s.
Positive,TheUSD tries to break through.
Neutral,Another up and down day for the pair.
Negative,Bears are in resistance eyes.
Positive,Bulls are looking towards an upside continuation.
Positive,The bulls are looking at the Fed US NFP.
Negative,China First Republic caused fears ahead of the Fed.
Negative,The mood in the US is clouded by the First Bank's retreat.
Positive,TheUSDJPY is breaking sharply to new highs.
Positive,The average is at its highest since August.
Positive,The Fed rate hike is supported by US consumer spending.
Negative,Bears eye a break.
Negative,Bears eye 10960 as the US Dollar cheers.
Positive,BoJled rose to a two month high.
Positive,"Ahead of the FedRBA policy on the US ISM, the AUDUSD aims to surpass 6000."
Negative,A rising channel pattern is being tested.
Positive,The euro is in a cushion as investors anticipate a rate hike from the European Central Bank.
Positive,"Despite sluggish yields, the BoJ inspired rally continues for a seventh week."
Neutral,The upside potential of the AUDUSD seems limited.
Negative,The pound drops to a new daily low as the dollar holds above 12500.
Neutral,TheUSDJPY is still well bid above mid 13600.
Positive,The US Dollar firm as First Republic closes.
Neutral,The British currency bounces off a daily low ahead of the US ISM.
Positive,The euro extended higher in early US trading.
Neutral,Analyzing key levels and resistance is what the rally is about.
Positive,The 200 day moving average for theUSDJPY is above it.
Negative,The pound trades to a new session low.
Negative,The dollar is boosted by Fed tightening speculation as the ISM Manufacturing PMI improves.
Positive,Buyers are eyeing a new high around 13800.
Negative,The lows from last week were skimmed by the euro.
Positive,The Bulls are about to make another move.
Neutral,"Despite the strength of the US dollar, the AUDUSD is still resilient."
Negative,"After a run higher, the AUDUSD fails to break the MA."
Negative,"Ahead of the Fed, the US Dollar strengthens."
Negative,"As the focus shifts to FedECB policy, the EURUSD eyes more weakness."
Neutral,"With eyes on the interest rate decision, the AUDUSD eases."
Neutral,"As investors wait for the Fed's rate policy and US job data, the British pound fluctuates below 12500."
Negative,The yield retreat to 13700 is linked to the US debt ceiling troubles.
Negative,Bears are looking for a break of critical support.
Negative,The AUDUSD is set to fall further on the RBA Day.
Negative,Bears could be about to make a move.
Positive,The euro is set to take 11000 amid the US default.
Neutral,How could the interest rate decision affect the AUDUSD?
Neutral,Financial institutions need to respond to liquidity risks.
Positive,The Reserve Bank of Australia surprised markets with a rate hike in May.
Positive,The interest rate was raised by 25 bps to 385.
Positive,Further tightening of monetary policy is expected by theRBA Board.
Negative,The EURUSD gained traction but lost it.
Neutral,The British pound now looks at 12450.
Neutral,The UK inflation signals are mixed.
Positive,"Ahead of Eurozone Inflation and the European Central Bank policy, theUSD index retreats."
Positive,Further upside hinges on daily close beyond 13780.
Positive,The Aussie jumped on the surprise rate hike.
Positive,Next on the upside is 13790.
Neutral,The demand for credit fell in the first quarter.
Negative,"Ahead of a key EMUCPI, the EURUSD is under pressure."
Neutral,The downside potential of the currency seems limited.
Positive,The AUDUSD is still well bid just below the 6000 mark.
Positive,We will bring inflation back to target.
Negative,The Fed rate hike was sealed by the US bank rescue.
Neutral,The recent gains of theUSDJPY have been consolidated.
Negative,Extra losses could revisit 10909.
Neutral,What is the next move for the AUDUSD?
Positive,The currency rebounded from weekly lows after the US data.
Neutral,The AUDUSD retraces back to its 200 hour moving average.
Negative,The US dollar fell sharply from sevenweek highs as Wall Street fell.
Negative,"Ahead of the Fed's decision, the US debt ceiling is under pressure."
Negative,The forecast was limited after being unable to hold above 6000.
Positive,The key H4 support for the AUDUSD is ahead of the Fed.
Positive,The dollar is weaker ahead of the Fed decision.
Positive,The euro is aiming for stability above 11000 as the euro zone has mixed inflation data.
Negative,"Ahead of Australia Retail Sales Fed, the AUDUSD is under pressure."
Neutral,To remain inside the woods until Fed's interest rate policy is released.
Neutral,Euro bulls struggle within a small range.
Neutral,How could Australia retail sales affect AUDUSD?
Positive,Australian retail sales beats the competition.
Negative,"Despite upbeat Australian Retail Sales data, the AUDUSD is still below 6000."
Positive,The US Dollar is weighed down by doubts over the Feds role in banking turmoil.
Negative,"As the Fed decision looms, there will be further downside for theUSDJPY."
Positive,The bulls approach 11055 even as banking troubles and inflation are mixed.
Positive,There is a bullish price analysis for the AUDUSD.
Positive,The Kohler Tight labor market demand for services fuel domestic inflationary pressures.
Negative,The upside momentum of the euro appears to have been mitigated.
Negative,There is extra consolidation near term.
Neutral,"Ahead of the FedECB policy, the trendline is above 11000."
Neutral,Three scenarios and their implications for the currency pair.
Neutral,No talk of rate cuts is enough to feed the bull story.
Neutral,The price analysis has a bounce off 100SMA but is still bullish.
Negative,"Safehaven demand weakens theUSD, which slides below 13600 weekly low."
Negative,The risks are pointing to the downside.
Negative,It will not be possible to retest last week's highs of 12580 soon.
Positive,The AUDUSD is likely to be further upside.
Neutral,There was a technical analysis of the GBPUSD.
Neutral,"Ahead of the FOMC, the AUDUSD struggles for a firm direction."
Positive,There is still a chance for a move to 13700.
Negative,The pair can fall if the 11070 hurdle is not reclaimed.
Neutral,There is a technical analysis of the currency.
Positive,The focus remains on the Fed.
Positive,The AUDUSD is expected to grind higher into the end of the year.
Positive,The British currency will inch higher towards 12610.
Negative,The combined effect of the FOMC and the impact of the ECB will cause the euro to pull back to the 10900 mark.
Positive,WeakerUSD traders are waiting for the decision on the FOMC.
Neutral,There is a Pullback to find support at the 1352013 area.
Neutral,How could the US employment report affect the euro?
Neutral,A technical analysis of the AUDUSD.
Positive,The pound sterling is back above 12500.
Negative,The trend turns bearish in May.
Positive,Bulls target the high near 11100.
Neutral,How could the US ISM Services PMI affect the euro?
Positive,The EURUSD is set to reach the 112 area.
Positive,There is a chance for gains to extend to 127128.
Negative,The AUDUSD is close to the hourly moving averages.
Negative,The price is testing the swing area.
Negative,The euro could go back to 106 in the second half of the year.
Positive,The currency trades to a new high.
Negative,The uncertainty of the decision of the Federal Open Market Committee has led to the plunge of theUSDJPY.
Positive,The currency rebounded after hitting a weekly low.
Positive,The market moments before the Fed.
Positive,The Fed raises rates as expected.
Neutral,The door for a pause is opened by the Fed's hike.
Positive,The AUDUSD hits fresh daily highs.
Positive,The British currency stays positive after the Fed hikes its rate.
